,Unnamed: 0.2,Unnamed: 0.1,index,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,nconst,primaryName,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Talk-Show,Thriller,War,Western,Action.1,Adult.1,Adventure.1,Animation.1,Biography.1,Comedy.1,Crime.1,Documentary.1,Drama.1,Family.1,Fantasy.1,Film-Noir.1,History.1,Horror.1,Music.1,Musical.1,Mystery.1,News.1,Reality-TV.1,Romance.1,Sci-Fi.1,Sport.1,Thriller.1,War.1,Western.1,Action.2,Adult.2,Adventure.2,Animation.2,Biography.2,Comedy.2,Crime.2,Documentary.2,Drama.2,Family.2,Fantasy.2,Film-Noir.2,History.2,Horror.2,Music.2,Musical.2,Mystery.2,News.2,Reality-TV.2,Romance.2,Sci-Fi.2,Sport.2,Thriller.2,War.2,Western.2,region_x,region_y,origin,Language
15982,16362,65275,84003,84003,tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994,142,['Drama'],9.3,2733330.0,nm0001104,"['nm0000209', 'nm0000151', 'nm0348409', 'nm0006669']","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"['AU', 'US', 'IR', 'FR', 'KR', 'FI', 'PT', '\\N', 'CL', 'XAS', 'JP', 'EG', 'FI', 'BR', 'HU', 'DE', 'AE', 'IT', 'SE', 'PH', 'LT', 'US', 'TH', 'UZ', 'CZ', 'FI', 'GR', 'IN', 'JP', 'SI', 'NL', 'BG', 'UY', 'DK', 'CA', 'PK', 'HK', 'IL', 'MX', 'TW', 'HR', 'GB', 'EE', 'NO', 'CN', 'PL', 'VN', 'TR', 'MX', 'EC', 'MY', 'RO', 'GR', 'IN', 'SG', 'AR', 'ES', 'IS', 'CA', 'XEU', 'SK', 'ID', 'ES', 'PH', 'BY', 'XWW', 'PE', 'US', 'RU', 'FI', 'NZ', 'RS', 'ZA', 'CH', 'TH', 'CL', 'AT', 'GE', 'UA', 'AZ']",US,en
24919,26788,147662,244065,244065,tt0468569,movie,The Dark Knight,The Dark Knight,0,2008,152,"['Action', 'Crime', 'Drama']",9.0,2706445.0,nm0634240,"['nm0000288', 'nm0005132', 'nm0001173', 'nm0000323']","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"['US', 'NL', 'PL', 'US', 'GB', 'BR', 'AR', 'SK', 'AE', 'HK', 'CA', 'DK', 'IN', 'HR', 'FI', '\\N', 'GR', 'TW', 'TR', 'US', 'RO', 'VE', 'CZ', 'IN', 'KR', 'UA', 'TR', 'US', 'US', 'BR', 'EG', 'BG', 'IN', 'US', 'XWW', 'RS', 'AL', 'CN', 'CA', 'VN', 'FR', 'PT', 'AU', 'ES', 'EC', 'RS', 'EE', 'GE', 'PE', 'PH', 'HU', 'GR', 'ID', 'SI', 'HK', 'LT', 'JP', 'LV', 'IL', 'MX', 'TH', 'RU', 'ZA', 'JP', 'UZ', 'SE', 'ES', 'US', 'US', 'IR', 'SG', 'DE', 'IS', 'UY', 'IN', 'IT']",US,en
31579,34482,187270,376251,376251,tt1375666,movie,Inception,Inception,0,2010,148,"['Action', 'Adventure', 'Sci-Fi']",8.8,2402346.0,nm0634240,"['nm0000138', 'nm0330687', 'nm0680983', 'nm0913822']","['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,"['VN', 'IN', 'US', 'RU', 'US', 'KR', 'BE', 'ID', 'ES', 'DE', 'NL', 'FR', 'PT', 'ZA', 'IT', 'LT', 'HK', 'RS', 'IN', 'US', 'LV', 'GB', 'UZ', 'VN', 'SG', 'PE', 'GE', 'US', 'CA', 'RO', 'UA', 'EE', 'AR', 'CZ', 'GR', 'HU', '\\N', 'EC', 'EG', 'BG', 'AU', 'CO', 'SI', 'PL', 'TH', 'DK', 'AE', 'JP', 'SK', 'PH', 'TW', 'IR', 'IN', 'GR', 'CA', 'XWW', 'MX', 'HR', 'SE', 'TR', 'BR', 'CL', 'JP', 'CN', 'IL', 'UY']",US,en
18171,18688,76369,100094,100094,tt0137523,movie,Fight Club,Fight Club,0,1999,139,['Drama'],8.8,2176102.0,nm0000399,"['nm0000093', 'nm0001570', 'nm0001533', 'nm0340260']","['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"['JP', 'IN', 'UZ', 'AZ', 'AT', 'MX', 'BG', 'HR', 'EE', 'US', 'LT', 'IN', 'PH', 'DE', 'FI', 'EC', 'IL', 'EG', 'CN', 'PE', 'UA', 'IR', 'AU', 'JP', 'SG', 'KR', 'EG', 'CA', 'ID', 'FR', 'IT', 'HU', 'PT', 'ZA', 'SE', 'BR', 'SI', 'EG', 'LV', 'PL', 'HK', 'AE', 'CA', 'CZ', 'TH', 'VN', 'DK', 'MK', 'RS', 'ES', '\\N', 'AR', 'TW', 'SK', 'GB', 'TR', 'RO', 'NL', 'UZ', 'RU', 'GR']",US,en
15751,16117,64386,82954,82954,tt0109830,movie,Forrest Gump,Forrest Gump,0,1994,142,"['Drama', 'Romance']",8.8,2126909.0,nm0000709,"['nm0000158', 'nm0000705', 'nm0000641', 'nm0000398']","['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,"['ES', 'HU', 'DE', 'FI', 'CA', 'FI', 'SK', 'TR', 'IN', 'EC', 'CN', 'US', 'AT', 'PE', 'FR', 'IL', 'IT', 'MX', 'TH', 'CA', 'ID', 'JP', 'BG', 'SG', 'ZA', 'AU', 'VN', 'UA', 'DK', 'KR', 'EG', 'BR', 'TW', '\\N', 'RU', 'NO', 'AE', 'UY', 'CZ', 'UZ', 'RS', 'RO', 'SE', 'PL', 'AR', 'SI', 'GR', 'JP', 'IN', 'PH', 'IN', 'PT', 'LV', 'GB', 'NL', 'HK', 'AZ', 'LT']",Not US,fr
15938,16316,65089,83793,83793,tt0110912,movie,Pulp Fiction,Pulp Fiction,0,1994,154,"['Crime', 'Drama']",8.9,2100399.0,nm0000233,"['nm0000237', 'nm0000235', 'nm0000168', 'nm0000246']","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"['US', 'AR', 'AT', 'UA', 'TW', 'IT', 'CN', 'FR', 'TH', 'IN', 'PH', 'JP', 'PT', 'US', 'GB', 'PL', 'SG', 'CZ', 'NL', 'CA', 'BR', 'DE', 'EG', 'FI', 'LT', 'ES', 'EE', 'NO', 'ID', 'AE', 'AZ', 'EG', 'UZ', 'DK', 'MX', 'KR', 'RO', 'AR', 'SE', 'PE', 'HK', 'GE', 'BG', 'FI', 'GR', 'SI', 'EC', 'ZA', 'IN', 'RS', 'UY', 'CA', 'XWW', 'SK', 'IL', 'JP', 'US', 'LV', 'VN', 'AU', 'IN', 'HU', '\\N', 'CL', 'TR', 'RU', 'FI', 'HR', 'IR']",US,en
18084,18587,75036,97766,97766,tt0133093,movie,The Matrix,The Matrix,0,1999,136,"['Action', 'Sci-Fi']",8.7,1949993.0,"nm0905154,nm0905152","['nm0000206', 'nm0000401', 'nm0005251', 'nm0915989']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,"['IN', 'PT', 'UZ', 'LV', 'BE', '\\N', 'PL', 'IN', 'AU', 'PA', 'NO', 'CZ', 'FI', 'TR', 'EE', 'SG', 'EG', 'IS', 'SE', 'AR', 'RS', 'JP', 'ZA', 'UY', 'IL', 'RO', 'EE', 'PH', 'EC', 'US', 'LT', 'JP', 'ES', 'IT', 'MX', 'HR', 'SI', 'JP', 'KR', 'HK', 'PE', 'TH', 'NL', 'UA', 'TW', 'SK', 'GB', 'VE', 'FR', 'AT', 'CA', 'BG', 'CN', 'BR', 'DK', 'IN', 'GR', 'FI', 'CA', 'DE', 'HU', 'VN', 'AE', 'ID', 'RU']",US,en
17688,18154,70898,90627,90627,tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,178,"['Action', 'Adventure', 'Drama']",8.8,1909123.0,nm0001392,"['nm0000704', 'nm0005212', 'nm0089217', 'nm0000293']","['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"['\\N', 'TW', 'US', 'TR', 'SI', 'UA', 'AE', 'CA', 'RU', 'IT', 'TH', 'SK', 'SG', 'EE', 'RO', 'FI', 'CA', 'DK', 'AU', 'NZ', 'VN', 'IS', 'AR', 'JP', 'MK', 'NL', 'NZ', 'GR', 'ZA', 'JP', 'CN', 'ID', 'US', 'VN', 'HU', 'FI', 'IR', 'JP', 'PT', 'UA', 'ES', 'US', 'PH', 'ES', 'RO', 'LT', 'NO', 'BR', 'FR', 'HR', 'EG', 'EC', 'IN', 'SE', 'UA', 'CZ', 'MX', 'ES', 'GB', 'CL', 'BG', 'FI', 'RS', 'GE', 'IL', 'AL', 'HK', 'PE', 'DE', 'KR', 'SE', 'XWW', 'IN', 'LV', 'GR', 'PL', 'IN', 'UZ', 'HK']",US,en
8184,8304,36579,50885,50885,tt0068646,movie,The Godfather,The Godfather,0,1972,175,"['Crime', 'Drama']",9.2,1900604.0,nm0000338,"['nm0000008', 'nm0000199', 'nm0001001', 'nm0000473']","['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"['GE', 'JP', 'QA', 'BE', 'US', 'IN', 'DE', 'RU', 'IN', 'CA', 'GB', 'CSHH', 'FR', 'CN', 'ID', 'RO', 'EG', 'SE', 'EE', '\\N', 'DK', 'HU', 'PL', 'HK', 'UZ', 'XWG', 'GR', 'IE', 'AE', 'CA', 'UY', 'NL', 'CZ', 'ES', 'BR', 'BG', 'IT', 'AU', 'ES', 'IS', 'AR', 'SG', 'KR', 'NO', 'RS', 'JP', 'AT', 'SI', 'XWW', 'AL', 'IL', 'EC', 'XYU', 'IR', 'SUHH', 'UA', 'GT', 'JP', 'ZA', 'TR', 'HR', 'IL', 'LT', 'VE', 'PH', 'CSHH', 'TW', 'TH', 'VN', 'LV', 'US', 'PE', 'CO', 'EG', 'EG', 'GR', 'BD', 'PT', 'BE', 'US', 'MX', 'CL', 'SK', 'FI']",US,en
26054,28143,154327,258574,258574,tt0816692,movie,Interstellar,Interstellar,0,2014,169,"['Adventure', 'Drama', 'Sci-Fi']",8.6,1896825.0,nm0634240,"['nm0000190', 'nm0004266', 'nm1567113', 'nm3237775']","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,"['RS', 'AE', 'SE', 'CZ', 'TH', 'VN', 'LV', 'UZ', 'AL', 'JP', 'CA', 'CO', 'HK', 'ES', 'IN', 'US', 'GB', 'PE', 'NL', 'PL', 'BR', 'MX', 'SI', 'EE', 'PH', 'US', 'LT', 'AZ', 'CN', 'IT', 'EG', 'XWW', 'UA', 'FR', 'TR', 'NZ', 'EC', 'US', 'SG', 'GE', 'DE', 'ES', 'US', 'UZ', '\\N', 'CN', 'RU', 'ZA', 'UY', 'CA', 'TW', 'BG', 'AU', 'IN', 'CL', 'HU', 'IR', 'KR', 'AR', 'ID', 'IL', 'IE', 'PT', 'GR', 'RO']",Not US,it
